Timestamp,"What attracted you to Singapore
",What is your purose of visit,How often do you visit MBS Promenade?,What is your main reason for visiting?,How satisfied are you with the facilities at MBS Promenade?,Why do you feel this way？,How would you rate the crowd levels?,Are you a visitor or a tourist?,What is your yearly income level?,What do you enjoy most about MBS Promenade?
07/04/2025 15:03:41,I wanted to visit a friend,Visiting a friend,1,Friends,4,The place is beautiful and well,Just Right,Tourist,60k-80k,The availability of shops
07/04/2025 15:09:13,Business,Visit Automotive Company … singapore / Malysia,1,Special Events,5,Very clean and safe,Like in eu,Tourist,Different,User Frendl nice shop walking area
07/04/2025 15:18:31,"Vacation, sightseeing ",Vacation ,3,Scenery,5,"It’s nice and clean, a lot to see, nice light show ",Just Right,Tourist,0-20k,The nice view over the city 
07/04/2025 15:25:21,Beauty ,Business ,1,Scenery,5,Clean ,Just Right,Tourist,Nil ,Beauty 
07/04/2025 15:27:57,The YouTube videos about Singapore,To check if they are telling the truth,1,Scenery,5,"Not only is this place clean, but it is also full of attractions and entertainments.",Too Empty,Tourist,>100k,The cleanliness or the floating store 
07/04/2025 15:33:00,The Attractions,Business,1,Special Events,5,Very clean,Just Right,Tourist,80k-100k,Amazing scenery 
07/04/2025 15:34:44,Shipping Industry ,"Work, Signing off ",2,Dining,5,"Very clean, nice atmosphere ",Just Right,Visitor,40k-60k,Food Area
07/04/2025 15:50:50,I am living here,I am planning a tour for my overseas friends,5,Special Events,4,"This is one of Singapore’s more famous landmarks, but it is too overrated",Too Empty,Visitor,40k-60k,Probably the amount of good food here
07/04/2025 15:52:35,ISHOWSPEED stream,to experience Singapore :),1,"Scenery, Shopping, Entertainment, Dining",5,"It has very very clean strets, v impressed",Just Right,Tourist,40k-60k,everything :)
07/04/2025 15:52:53,The sites and attractions ,Tourism ,1,Scenery,5,Very clean and pretty. Modern facilities. ,Just Right,Tourist,40k-60k,A nice place to relax 
07/04/2025 15:53:10,The nice food and sight seeing ,Tourism ,1,Scenery,5,"Very clean and modern, like being in the future ",Just Right,Tourist,60k-80k,"Very modern and peaceful, great plants. "
07/04/2025 15:58:50,Technology and Nature ,Tourism ,2,"Scenery, Shopping, Dining",5,Everything is very clean and high tech ,Just Right,Tourist,20k-40k,The beauty and architecture 
07/04/2025 15:59:27,I love Asia and its a good meeting point between India and China,Leisure,1,Entertainment,4,,Just Right,Tourist,>100k,The Architecture 
07/04/2025 16:02:19,attractions,visit attractions,1,"Scenery, Shopping, Dining",4,it is a nice place,Just Right,Tourist,80k-100k,the attractions
07/04/2025 16:02:23,attractions,visit attractions,1,"Scenery, Shopping, Dining",4,it is a nice place,Just Right,Tourist,80k-100k,the attractions
07/04/2025 16:03:12,poggers newsreports,"explore singapore, get to know asia better",2,"Shopping, Entertainment",4,"v spacious, and most importantly clean",Just Right,Tourist,80k-100k,greenery
07/04/2025 16:03:51,beautiful and safe city ,study,4,Shopping,3,nice but super hot,Just Right,Tourist,0-20k,sure will comeagain
07/04/2025 16:06:16,asian food,eat,3,Dining,5,,Too Empty,Visitor,40k-60k,food!
07/04/2025 16:08:13,Tscenery and most importantly the grery in singapore,Engoy asian culture,5,"Scenery, culture",5,,Too Empty,Tourist,0-20k,facilities
07/04/2025 16:11:29,Sightseeing and exploring a different culture to our own ,Travel ,1,Scenery,4,This is our first visit but we have enjoyed so far!,Just Right,Tourist,20k-40k,"The scenery, especially with the sunshine!"
07/04/2025 16:12:58,Exploring different cultures ,Travel,1,"Scenery, Entertainment",4,"Singapore is a lovely city l, with a culture much different to my own",Just Right,Tourist,40k-60k,The views and science museum 
07/04/2025 16:14:14,efficient government system,just going on a holiday,4,Entertainment,5,,Too Empty,Visitor,40k-60k,calm and good air
07/04/2025 16:14:37,family and the buildings ,leisure and to visit family,3,Scenery,5,because it is very clean and there are very beautiful views ,Too Empty,Tourist,40k-60k,The amazing views 
07/04/2025 16:20:02,Culture and nature and people,Tourism ,2,"Scenery, Shopping, Entertainment",5,It’s very convenient ,Just Right,Tourist,60k-80k,"The views, how clean it is, comfort for people "
07/04/2025 16:23:47,"The amount of attractions, and USS",To visit many attractions,1,Entertainment,5,"I thought the main attraction would be in Sentisa, but this exceeded my expectations",Just Right,Tourist,I do not want to say,The shoppes are very wide ranged
07/04/2025 16:29:17,"Gardens by the bay, it’s like a nature reserve but cooler",To see attractions,3,Entertainment,5,I am a Singaporean and I am proud of our achievements,Too Empty,Visitor,60k-80k,How close it is to gardens by the bay
07/04/2025 16:31:46,I am a citizen here,To celebrate my daughters birthday,2,"Dining, Special Events",5,There are many dining options,Just Right,Visitor,40k-60k,The variety of activities available
07/04/2025 16:35:33,I came here to work,My parents came to visit me,1,Window shopping,4,It’s nice but it’s too expensive,Just Right,Tourist,20k-40k,The niceness and richness
07/04/2025 16:40:21,Idk,Idk,1,Dining,3,Idk,Just Right,Tourist,Idk,Idk
07/04/2025 17:29:15,the food,watch ppl perform,2,"Entertainment, Dining",5,very. clean,Just Right,Visitor,>100k,the staff was vv kind 
